NVDA,TSLA,AAPL,AMD,GOOGL
0.44258,1.8,10.58,8.88,13.32
0.44258,1.81,10.57,8.95,13.44
0.4474,1.84,10.47,9.07,13.45
0.45863,1.84,10.57,9.1,13.6
0.45244,1.83,10.46,9.03,13.46
0.43089,1.79,10.51,8.8,13.34
0.42768,1.78,10.56,8.79,13.39
0.42791,1.76,10.47,8.87,13.35
0.44304,1.81,10.47,8.92,13.38
0.4529,1.86,10.5,8.94,13.44
0.45359,1.89,10.55,8.94,13.56
0.45565,1.8,10.48,8.88,13.38
0.4701,1.84,10.46,8.93,13.37
0.41873,1.84,10.28,8.9,13.24
0.40591,1.77,10.06,8.67,12.96
0.40429,1.73,10.15,8.54,13.26
0.41369,1.76,10.26,8.67,13.24
0.40773,1.88,10.28,8.64,13.28
0.41483,1.86,10.12,8.62,13.1
0.41438,1.79,10.1,8.49,12.96
0.416,1.78,10.03,8.39,12.95
0.42103,1.93,10.17,8.43,12.99
0.43157,1.97,10.12,8.48,12.95
0.44717,1.97,10.19,8.49,13.02
0.45955,2.01,10.5,8.68,13.22
0.43891,1.9,10.43,8.37,13.14
0.43673,1.92,10.45,8.24,13.2
0.42332,2.01,10.37,7.97,13.07
0.41438,1.91,10.21,7.8,13.02
0.41415,1.89,10.03,7.71,12.97
0.40291,1.81,10.03,7.62,12.98
0.39832,1.84,10.01,7.64,12.92
0.39259,1.86,9.84,7.59,12.74
0.38972,1.9,9.86,7.54,12.62
0.39305,1.91,10.04,7.67,12.71
0.38456,1.82,9.87,7.5,12.57
0.37126,1.77,9.82,7.19,12.51
0.36244,1.77,9.67,7.0,12.12
0.35819,1.73,9.52,6.89,12.11
0.36599,1.84,9.82,7.22,12.32
0.36094,1.81,9.74,7.06,12.17
0.37172,1.85,10.0,7.06,12.0
0.36094,1.84,9.85,6.9,11.87
0.35338,1.83,10.03,6.92,12.07
0.35544,1.87,10.12,6.95,12.34
0.36094,1.89,10.09,6.89,12.44
0.36542,1.94,10.14,6.99,12.66
0.37023,1.93,10.36,7.11,13.02
0.36416,1.94,10.55,7.14,13.31
0.35934,1.93,10.62,7.0,13.38
0.3606,1.98,10.79,7.15,13.66
0.35384,1.92,10.86,6.95,13.3
0.34145,1.89,10.69,6.76,13.18
0.33687,1.88,10.68,6.43,13.35
0.33618,1.91,10.81,6.48,13.45
0.32288,1.84,10.8,6.44,13.22
0.32334,1.84,11.02,6.43,14.94
0.31634,1.82,11.29,6.18,14.87
0.32611,1.86,11.38,6.48,15.06
0.32196,1.91,11.68,6.6,14.88
0.3371,1.91,11.69,6.5,15.17
0.34398,1.95,11.88,7.75,15.45
0.33847,1.9,12.03,7.63,15.47
0.33022,1.87,12.18,7.66,15.56
0.31772,1.84,11.85,7.51,15.18
0.31715,1.88,11.83,7.42,15.27
0.31715,1.88,11.79,7.34,15.09
0.33411,1.92,11.98,7.22,15.17
0.33067,1.82,11.74,7.11,14.81
0.33962,1.81,11.85,7.16,15.03
0.30728,1.65,11.39,6.5,14.44
0.29697,1.62,11.28,6.56,14.47
0.27357,1.58,10.67,5.94,13.65
0.29651,1.67,11.29,6.18,14.33
0.28298,1.59,10.98,5.85,13.72
0.30751,1.69,11.28,6.17,14.05
0.29536,1.75,11.38,6.21,14.09
0.3066,1.75,11.58,6.43,13.93
0.29788,1.74,11.49,6.34,13.47
0.29375,1.72,11.49,6.14,13.33
0.2738,1.62,11.05,5.79,12.62
0.26899,1.49,10.75,5.98,12.27
0.2738,1.46,10.76,6.05,12.45
0.30339,1.53,11.28,6.5,12.97
0.29903,1.59,11.36,6.34,13.08
0.28619,1.54,11.28,6.37,13.0
0.29834,1.58,11.58,6.49,13.17
0.30637,1.65,11.78,6.83,13.47
0.31371,1.64,11.78,6.84,13.52
0.30522,1.65,11.62,6.83,13.52
0.30453,1.6,11.51,6.68,13.31
0.29628,1.54,11.29,6.32,13.12
0.30224,1.53,11.47,6.27,13.05
0.32678,1.59,11.59,6.76,13.35
0.32517,1.57,11.6,6.81,13.37
